,acc,mcc,Recall,Precision,strain,closest_strain,distance,ith
220,0.7857651245551601,0.3637646529181765,0.44545454545454544,0.5547169811320755,KA,PAg3,0.17674838,11.0
221,0.7607449856733525,0.29420650751367006,0.40797546012269936,0.4854014598540146,KA,PAl,0.20674396,12.0
222,0.7364341085271318,0.21254559234696555,0.33633633633633636,0.4226415094339623,KA,PAr,0.59415143,13.0
223,0.7048236141108711,0.1818202444524926,0.3716012084592145,0.37846153846153846,KA,PR1,0.61103085,14.0
224,0.6775106082036775,0.08936133051622117,0.2904191616766467,0.3069620253164557,KA,PR2,0.62007802,15.0
225,0.6595900439238653,0.05423364512827764,0.27639751552795033,0.2772585669781931,KA,PH,0.6290311,16.0
226,0.6202440775305097,0.02451950759526604,0.3100303951367781,0.2524752475247525,KA,PP,0.64335036,17.0
227,0.71875,0.21158184953078876,0.3850746268656716,0.4043887147335423,KA,PK,0.65608414,18.0
228,0.855072463768116,0.5667487314704956,0.7269372693726938,0.5915915915915916,CF,BI,0.01606217,0.0
229,0.8648843930635838,0.6036307764756532,0.7593984962406015,0.6215384615384615,CF,KA,0.02688019,1.0
230,0.8141289437585734,0.39537824700622165,0.5183823529411765,0.501779359430605,CF,EL,0.05585694,2.0
231,0.8065187239944521,0.42626070804595656,0.608058608058608,0.4911242603550296,CF,LA,0.05948297,3.0
232,0.7782426778242678,0.3526947716197289,0.5617977528089888,0.42735042735042733,CF,RP1,0.06159501,4.0
233,0.8088761632068718,0.38109713852239285,0.5076335877862596,0.4907749077490775,CF,RP2,0.06472049,5.0
234,0.8106796116504854,0.37357258541596783,0.4833948339483395,0.4962121212121212,CF,PAg1,0.11542491,6.0
235,0.7426253687315634,0.30043139966153715,0.5714285714285714,0.3645833333333333,CF,PAg2,0.12041986,7.0
236,0.6932862190812721,0.22484120201299582,0.5416666666666666,0.31359649122807015,CF,EC,0.1210333,8.0
237,0.7584745762711864,0.36853334395700843,0.6466165413533834,0.4095238095238095,CF,SF1,0.13148376,9.0
238,0.7515701325889742,0.31083260439838684,0.5555555555555556,0.38860103626943004,CF,EA,0.13781894,10.0
239,0.8037318590186593,0.36613723411195814,0.4963235294117647,0.4787234042553192,CF,PAg3,0.16456227,11.0
240,0.796231681786462,0.33417551503622833,0.47509578544061304,0.4444444444444444,CF,PAl,0.19455785,12.0
241,0.7460426703372333,0.1689987748374508,0.3272058823529412,0.3236363636363636,CF,PAr,0.58196532,13.0
242,0.7274633123689728,0.17943782427306212,0.3880597014925373,0.3151515151515151,CF,PR1,0.59884474,14.0
243,0.6973232669869595,0.08074181206103573,0.2977941176470588,0.24471299093655588,CF,PR2,0.60789191,15.0
244,0.6814285714285714,0.04923175690684511,0.28185328185328185,0.21921921921921922,CF,PH,0.61684499,16.0
245,0.6585195530726257,0.07770804799627652,0.3660377358490566,0.23205741626794257,CF,PP,0.63116425,17.0
246,0.7198898830006882,0.15849239946667804,0.3713235294117647,0.2997032640949555,CF,PK,0.64389803,18.0
247,0.7985559566787004,0.47223024028886634,0.4640198511166253,0.748,PAg2,PAg1,0.03478945,0.0
248,0.8080517613227893,0.49886490888007107,0.5087281795511222,0.7445255474452555,PAg2,PAg3,0.08392681,1.0
